delay,loss,th
132,0,1763144
132,0,1734040
132,0,1728592
132,0,1756944
132,0,1729896
132,0,1856120
132,0,1693968
132,0,1645848
132,0,1759664
132,0,1781264
132,0,1749192
132,0,1752448
132,0,1721488
132,0,1773704
132,0,1702240
132,0,1729352
132,0,1745352
132,0,1743960
132,0,1725928
132,0,1723368
132,0,1765048
132,0,1759800
132,0,1756848
132,0,1750032
132,0,1752544
132,0,1758888
132,0,1744328
132,0,1745648
132,0,1735304
132,0,1762432
132,0,1713928
132,0,1712592
132,0,1754032
132,0,1795160
132,0,1766848
132,0,1766880
132,0,1732800
132,0,1749016
132,0,1756368
132,0,1751200
132,0,1754656
105,0,1719912
105,0,1780680
105,0,1732112
105,0,1721904
105,0,1756456
105,0,1724632
121,0,1772696
121,0,1742072
121,0,1730720
121,0,1676664
121,0,1742192
121,0,1726688
121,0,1756440
121,0,1850088
121,0,1738848
136,0,1773288
136,1,1748688
136,0,1743680
136,0,1748680
136,0,1759088
136,0,1763272
136,0,1753016
136,0,1728552
136,0,1760144
136,0,1445152
136,0,1732000
136,0,1744864
136,0,1732832
136,0,1750080
136,0,1770952
136,0,1731784
111,0,1723440
111,0,1756576
126,0,1705000
126,0,1748064
126,0,1744704
126,0,1749264
126,0,1759216
126,0,1767904
126,0,3299419
126,0,2770152
126,0,3039080
126,0,3174592
126,0,3319480
126,0,2928488
126,0,1741528
126,0,1608896
126,0,1727480
126,0,1747056
126,0,1759904
126,0,1731920
126,0,1781808
126,0,1737704
126,0,1769760
126,0,1739704
126,0,1748536
126,0,1778968
126,0,1740664
126,0,1741136
106,0,1763280
110,0,1762832
116,0,1742336
122,0,1791736
123,0,1717424
123,0,1813336
123,0,1780040
123,0,1789560
123,0,1749512
123,0,1762136
126,0,1769136
130,0,1693616
136,0,1862232
142,0,1759248
146,0,1250392
149,0,1131264
150,0,1758096
145,0,2217552
142,0,1660696
139,0,1841536
135,0,1036280
132,0,1476096
138,0,1509816
138,0,1533432
138,0,1555584
138,0,1486152
138,0,1463120
138,0,1474544
138,0,1527552
138,0,1525104
138,0,1517368
138,0,1512016
138,0,1507696
138,0,1525008
138,0,1526912
138,0,1556208
138,0,1523584
138,0,1715336
138,0,1811296
138,0,1710928
138,0,1736352
138,0,1726688
138,0,1756216
138,0,1769672
138,0,1747216
138,0,1739368
138,0,2009744
138,0,1686656
138,0,1771264
138,0,1728464
138,0,1859800
138,0,1800536
138,0,1712776
138,0,1760496
138,0,1797904
138,0,1743192
138,0,1745800
138,0,1780768
138,0,1748320
138,0,1860104
138,0,1774904
138,0,1790376
138,1,1878576
122,0,1749224
103,0,1725856
118,0,1774056
118,0,1759080
118,0,1756352
134,0,1732088
134,0,1722592
134,0,1731888
134,0,1723512
134,0,1752360
134,0,1080864
134,0,2196512
134,0,1905792
134,0,1655952
149,0,1666328
149,0,1743656
149,0,1793760
149,0,1772632
149,0,1545336
149,0,1717872
149,0,1747400
149,0,1753720
149,0,1701856
149,0,1647704
149,0,1775688
149,0,1737304
149,0,1756464
149,0,1754272
149,0,1769056
149,0,1760400
149,0,1741856
149,0,1740608
149,0,1786008
149,0,1837112
149,0,1766840
149,0,1744872
149,0,1188064
149,0,2024760
149,0,1684344
149,0,1644256
149,0,1741664
129,0,1805008
129,0,1748136
129,0,1730016
129,0,1739256
129,0,1761408
145,0,1746352
145,0,1741096
145,0,1772424
145,0,1759368
145,0,1758176
145,0,1739184
145,0,1757712
145,0,1773536
145,0,1731176
145,0,1763488
124,0,1732912
124,0,1749288
124,0,1734264
124,0,1721488
124,0,1738984
124,0,1736992
124,0,1762536
124,0,1748496
124,0,1796128
124,0,2303208
142,0,2210608
159,0,2255832
178,0,2247656
178,0,2170232
178,0,2182768
196,0,2172568
196,0,1643120
196,0,1831488
196,0,1758672
196,0,1764832
196,0,1754568
196,0,1817808
196,0,1748624
181,0,1755824
181,0,1735528
181,0,1726224
181,0,1726096
160,0,1730400
160,0,1771120
160,0,1741624
160,0,1808000
160,0,1729728
160,0,1730440
139,0,1772368
139,0,1737616
139,0,1768920
139,0,1750672
139,0,1712592
139,0,1790080
139,0,1775496
139,0,1731160
139,0,1770368
139,0,1730728
139,0,1712560
139,0,1733464
139,0,1740024
139,0,1754648
139,0,1761680
139,0,1755424
139,0,1758960
155,0,1770192
138,0,1725528
138,0,1743400
138,0,1725984
138,0,1748296
138,0,1757248
138,0,1747472
138,0,1695160
138,0,1747584
138,0,1752392
138,0,1767952
138,0,1744336
138,0,1734520
138,0,1725752
138,0,1627728
138,0,1664544
138,0,1710880
138,0,1750856
138,0,1750384
138,0,1766624
138,0,1757344
138,0,1747816
138,0,1749904
138,0,1761872
138,0,1754904
138,0,1751144
138,0,1725488
138,0,1751160
138,0,1739824
138,0,1752360
138,0,1733000
138,0,1761304
138,0,1754640
138,0,1726976
138,0,1754616
138,0,1748920
138,0,1776544
138,0,1753792
138,0,1743216
138,0,1770680
138,0,1754192
138,0,1727320
138,0,1765576
138,0,1757232
138,0,1774296
138,0,1744368
138,0,1772216
138,0,1736488
138,0,1750040
138,0,1743904
138,0,1739504
138,0,1763280
138,0,1745744
138,0,1732496
138,0,1728344
138,0,1759640
138,0,1755400
138,0,1775712
138,0,1697160
139,1,1762320
153,0,1776384
153,0,1774240
153,0,1745656
153,0,1718440
153,0,1762816
153,0,1785664
153,0,1706136
153,0,1061296
153,0,2214504
153,0,1777000
153,0,1545304
153,0,1817392
153,0,1712408
153,0,1696400
153,0,1793632
153,0,1720024
153,0,1746768
153,0,1774456
153,0,1747552
153,0,1746256
194,0,1729608
242,0,1733160
276,0,1781128
292,0,1764336
313,0,1805224
344,1,1765480
344,0,1760384
299,0,1768912
269,0,1718368
288,0,1747184
225,0,1725448
177,0,1751784
175,0,1758928
174,0,1748504
183,0,1759256
183,0,1739944
179,0,1773392
187,0,1731712
193,0,1730592
179,0,1756480
192,0,1673232
265,0,1994808
330,0,1905400
392,0,1675472
450,0,1677784
523,0,1746680
599,0,1752632
678,0,1833456
742,0,1757128
667,0,1712896
610,0,1813376
566,0,1777016
531,0,1768384
514,0,1742888
487,2,1809096
464,0,1763768
439,0,1641048
418,3,1771184
400,1,1815760
400,0,1728384
384,1,1751864
384,0,1734608
367,2,1756688
343,0,1763944
293,0,1746864
278,0,1771424
278,0,1745248
278,0,1718672
278,0,1797464
262,0,1833024
262,0,1676224
244,1,1898680
227,0,1192304
211,1,1482208
211,2,1514464
194,0,1509968
194,0,1510696
194,0,1430400
194,0,1442064
194,0,1462952
179,0,1430824
164,0,1446640
164,0,1429392
164,0,1454512
149,0,1440376
149,0,1446736
149,0,1473296
149,0,1479944
149,0,1471448
133,0,1490304
133,0,1461616
133,2,1485032
133,0,1514264
133,0,1524384
133,0,1533424
133,0,1498432
133,0,1425736
133,0,1386320
133,0,1470480
133,0,1492616
133,0,1454184
133,0,1415480
133,0,1464808
133,0,1466448
149,0,1434576
149,0,1458664
149,0,1449384
149,0,1408264
149,0,1411976
149,0,1425880
149,0,1436528
149,0,1393392
149,0,1428464
149,0,1433776
149,0,1438808
149,0,893720
149,0,1882624
149,0,1773352
149,0,1754600
149,0,1720400
149,0,1749240
149,0,1750392
149,0,1716328
149,0,1775640
149,0,1766080
149,0,1695176
149,0,1727568
149,0,1681456
149,0,1744680
149,0,1742016
149,0,1800080
149,0,1726832
149,0,1743408
149,0,1756232
149,0,1708496
149,0,1773408
149,0,1730008
149,0,1725400
149,0,1756656
149,0,1757512
149,0,1729464
149,0,1742760
149,0,1740624
149,0,1608016
149,0,1700536
149,0,1745416
149,0,1783344
149,0,1799016
149,0,1751136
149,0,1739312
149,0,1754768
149,0,1781472
149,0,1790168
149,0,1762648
149,0,1718512
149,0,1711080
149,0,1754752
133,0,1757008
133,0,1728608
148,0,1776256
148,0,1648688
191,0,1836920
221,0,1766968
244,0,1710728
267,0,1600072
280,0,1762856
292,0,1771976
310,0,1745608
310,0,1279088
470,0,1843592
630,0,1930224
790,0,1832352
817,0,1744464
968,0,699088
1124,0,2082656
1184,0,1749848
1251,0,1722952
1328,0,1722776
1311,0,1758424
1253,0,1751520
1253,0,1739288
1209,0,1726216
1141,0,1765152
1094,0,1703024
1094,0,787336
1109,0,2085336
1149,0,1677936
1188,0,1651912
1250,0,1751168
1325,0,1763952
1387,0,1770576
1920,0,1742712
1983,0,1741360
2042,0,1713408
2015,0,1773888
1975,0,1710128
1922,0,1760568
1922,0,1406672
1744,0,1983792
1777,0,1618424
1823,0,1692840
1862,0,1726352
1886,0,1781088
1762,0,1751272
1715,0,1741992
1581,0,1803672
1530,0,1862576
1400,0,1714048
1248,0,1743264
1164,0,1717792
1071,0,1705520
982,0,1737216
905,0,1755288
905,0,1353944
867,0,1094640
902,0,1774584
936,0,1882944
970,0,1631376
999,0,1689456
1340,0,1689168
1417,0,1736008
1493,0,1723600
1567,0,1752408
1642,0,1762232
1709,0,1734968
1803,0,1736032
1748,0,1763984
1637,0,1787240
1532,0,1738480
1427,0,1762944
1330,0,1739272
1216,0,1750112
1105,0,1760880
1015,0,1763280
945,0,1908096
880,0,2221400
835,0,2209552
804,0,2218448
783,0,2251416
753,0,2214104
689,0,1755832
579,0,1733224
524,0,1778696
480,0,1742560
446,0,1739344
431,0,1750728
408,0,1757000
386,0,1722016
368,0,1755392
334,0,1707952
334,0,1719464
334,0,1749432
313,0,1759432
313,0,1769800
294,0,1741048
294,0,1750888
294,0,1745008
294,0,1800944
294,0,1757968
294,0,1741352
294,0,1725680
294,0,1736712
294,0,1753032
294,0,1739872
279,0,1802064
279,0,1755032
257,0,1754248
234,0,1741400
234,0,1789272
219,0,1746184
219,0,1757496
201,0,1747576
201,0,1737624
186,0,1751096
186,0,1758344
186,0,1766640
186,0,1750104
186,0,1752064
186,0,1766112
163,0,1740440
163,0,1791600
163,0,1756352
163,0,1773432
163,0,1704824
163,0,1733712
163,0,1738912
163,0,710520
202,0,2100088
228,0,1808616
257,0,1667576
280,0,1707680
303,0,1734904
319,0,1761576
319,0,1601480
319,0,1254632
319,0,1526728
319,0,1738760
319,0,1807040
319,0,1766848
301,0,1765712
278,0,1782264
259,0,1750512
238,0,1808424
221,0,1792536
204,0,1745744
204,0,1745008
189,0,1750040
189,0,1786968
174,0,1741328
174,0,1778960
174,0,1748800
174,0,1739552
174,0,1761432
174,0,1623528
159,0,1790640
159,0,1767256
159,0,1759000
139,0,1726872
139,0,1687088
139,0,1763928
139,0,1723072
139,0,1740736
139,0,1708512
139,0,1768688
139,0,1736192
139,0,1726448
139,0,1737280
139,0,1732120
139,0,1760456
139,0,1748528
139,0,1774728
139,0,1755552
139,0,1746600
139,0,1732176
139,0,1754264
139,0,1742832
139,0,1739472
139,0,1754672
139,0,1754104
139,0,1738672
139,0,1747376
139,0,1740520
139,0,1745168
139,0,1752816
139,0,1754264
139,0,1762672
139,0,1717392
139,0,1746728
139,0,1750440
139,0,1733016
139,0,1747280
139,0,1765888
139,0,1739888
139,0,1752920
139,0,1728744
139,0,1781168
139,0,1737736
139,0,1734776
139,0,1753952
139,0,1761824
139,0,1768752
139,0,1732832
139,0,1735312
139,0,1760912
139,0,1763312
139,0,1755424
139,0,1765832
139,0,1733720
139,0,1768744
139,0,1764520
139,0,1761280
139,0,1740304
139,0,1763944
139,0,1784912
139,0,1761240
139,0,1722880
139,0,1740264
139,0,1738152
139,0,1746560
139,0,1761080
139,0,1788960
139,0,1749792
139,0,1742096
139,0,1737920
139,0,1775520
139,0,1751296
139,0,1765712
139,0,2192472
139,0,2248976
139,0,2234144
139,0,2188840
139,0,2199784
139,0,2181208
139,0,1692600
139,0,1764056
139,0,1758288
139,0,1759400
139,0,1725472
139,0,1751680
139,0,1751472
139,0,2231456
139,0,2196320
139,0,2223744
139,0,2233216
139,0,2212040
110,0,1752768
110,0,1751904
110,0,1760080
110,1,1772992
110,0,1749168
110,0,1755072
110,0,1598848
110,0,1811776
110,0,1755952
110,0,1759312
110,0,1679000
114,0,805704
149,0,1692400
183,0,1667184
232,0,1585096
268,0,1762520
284,2,1761784
301,0,1776408
317,0,1754248
318,0,1782080
318,0,1747504
318,0,1765200
318,0,1747640
318,0,1734392
272,0,1768048
222,0,1763080
206,0,1698640
206,0,1771048
187,0,1755000
187,0,1758416
172,0,1746064
172,0,1751328
172,0,1769256
172,0,1738952
172,0,1743784
172,0,1761800
172,0,1745072
172,1,1728728
172,0,1740688
152,0,1736120
152,0,1741528
152,0,1789152
152,0,1732768
152,0,1745104
152,0,1753968
131,0,1746000
131,0,1763256
131,0,1746888
131,0,1762784
131,0,1751808
131,0,1746064
146,0,1760256
146,0,1717656
146,1,1737648
146,0,1756392
146,0,1631960
146,1,1671680
146,0,1826096
146,0,1465288
146,0,1930824
146,0,2220184
146,0,1539864
146,0,1579312
146,0,1657904
146,0,1760056
146,0,1733056
146,0,1744960
146,0,1741592
146,0,1765888
146,0,1762008
146,0,1735568
146,0,1769672
146,0,1779240
146,0,1759592
146,0,1746776
146,0,1742896
146,0,1755424
146,0,1737328
146,0,1752952
146,0,1780736
148,0,1743104
156,0,1774672
144,0,1765080
164,0,1726896
182,0,1738952
182,0,1782120
182,0,1739376
182,0,1734968
197,0,1762688
197,0,1751440
197,0,1805376
197,0,1731280
197,0,1733480
197,0,1737472
197,0,1743832
197,0,1754632
197,0,1756536
197,0,1773816
181,0,1719696
181,0,1759192
181,0,1724984
166,0,1763752
166,0,1740912
166,1,1780656
166,0,1764064
151,0,1828984
151,0,1728000
135,0,1738184
140,0,1755856
141,0,1762392
143,0,1740704
142,0,1740328
139,0,1716424
139,0,1742512
142,0,1735488
141,0,1723456
133,0,1791296
131,0,1788872
129,0,1659584
129,1,1752136
129,0,1764760
133,0,1754640
139,0,1727736
145,0,1745648
145,0,1744456
143,0,1757400
146,0,1747040
148,0,1759760
144,0,1753080
138,0,1772992
133,0,1768736
133,0,1710336
127,0,1883776
124,0,1863840
128,0,1754032
128,0,1737552
128,0,1757152
128,0,1812568
128,0,1740032
128,0,1759160
128,0,1798360
128,0,1791936
128,0,1769248
128,0,1719504
128,0,1744328
128,0,1750744
128,0,1794248
128,0,1759848
128,0,1736136
128,0,1776240
128,0,1753144
128,1,1737960
128,0,2112648
128,0,2140704
128,0,1942048
128,0,2275456
128,0,2288888
128,0,1665288
128,0,1809448
128,0,1821896
128,0,1689368
128,0,1527568
128,0,2086840
128,0,1646472
128,0,1509616
128,0,769424
128,0,1401224
128,0,1464168
128,0,1453752
128,0,1478992
128,0,1483424
128,0,1469856
128,0,1454536
128,0,1509976
128,0,1560056
128,0,1734424
128,0,1780368
128,0,1594848
104,0,1809776
106,0,1743648
103,0,1767120
113,0,1755344
97,0,1766512
100,0,1756544
107,0,1711336
107,0,1735928
107,0,1746368
122,0,1735688
124,0,1588936
138,0,1699304
138,0,1760768
138,0,1768016
138,0,1712416
138,0,1760600
138,0,1785792
138,0,1763560
138,0,1710472
138,0,1700152
138,0,1761488
138,0,1767992
138,0,1734072
138,0,1758592
153,0,1704840
153,0,1756976
153,0,1717880
153,0,1788672
153,0,1778672
153,0,1721128
153,0,1725784
153,0,1761456
153,0,1662928
153,0,1807288
153,0,1763624
153,0,1748120
153,0,1740288
153,0,1751312
153,0,1745872
153,0,1762576
153,0,1781608
153,0,1742624
153,0,1759224
153,0,1724568
138,0,1780360
138,0,1766064
138,0,1814160
138,0,1750064
138,0,1761048
138,0,1747888
138,0,1740952
138,0,1755368
138,0,1731640
138,0,1767424
138,0,1782304
138,0,1761024
138,0,1710680
138,0,1804320
138,0,1724048
138,0,1758944
138,0,1801864
138,0,1748672
138,0,1702912
138,0,1774008
138,0,1788080
138,0,1728616
138,0,1722296
138,0,1738144
138,0,1761736
138,0,1709592
138,0,1787336
138,0,1742824
138,0,1764560
138,0,1790360
138,0,1757976
138,0,1824184
153,0,1783768
153,0,1774256
153,0,1770064
153,0,1761120
153,0,1746752
153,0,1751752
153,0,1712600
153,0,1764960
153,0,1729176
153,0,1750184
153,0,1759952
153,0,1766088
153,0,1740040
153,0,1750512
153,0,1744360
153,0,1766488
153,0,1741472
153,0,1755896
153,0,1755272
153,0,1837992
153,0,1766144
153,0,1750712
153,0,1743384
153,0,1750216
153,0,1729456
153,0,1779640
153,0,1740880
153,0,1753720
153,0,1747912
153,0,1744432
153,0,1711400
153,0,1718800
153,0,1747432
153,0,1736216
153,0,1745392
153,0,1768264
153,0,1765456
153,0,1751248
153,0,1750960
153,0,1762776
153,0,1761352
137,0,1770032
137,0,1737032
137,0,1750072
137,0,1774984
137,0,1738744
137,0,1747128
137,0,1751768
112,0,1764184
112,0,1744184
112,0,1734920
112,0,1765704
127,0,1720552
127,0,1723000
127,0,1760384
127,0,1796144
127,0,1737312
127,0,1767928
127,0,1752752
127,0,1749616
127,0,1752432
142,0,1766800
142,0,1694200
142,0,1770672
142,0,1728568
142,0,1757144
142,0,1755152
142,0,1759112
142,0,1864648
142,0,1771128
142,0,1726384
142,0,1763032
142,0,1769920
142,0,1809088
142,0,1762712
142,0,1749632
142,0,1760944
142,0,1759256
142,0,1724584
142,0,1712856
142,0,1767088
142,0,1751104
142,0,1762776
142,0,1728176
142,0,1769480
142,0,1732032
142,0,1734592
142,0,1779992
142,0,1787432
142,0,1760240
142,0,1789840
142,0,1748008
142,0,1735344
142,0,1756240
142,0,1758824
142,0,1759552
142,0,1760160
142,0,1755552
142,0,1730320
142,0,1747984
142,0,1765472
142,0,1750920
142,0,1722408
142,0,1728520
142,0,1703912
142,0,1760504
142,0,1758848
142,0,1766440
142,0,1759016
142,0,1760344
142,0,1756784
142,0,1806416
142,0,1756392
142,0,1772056
142,0,1746368
142,0,1770648
142,0,1756056
142,0,1894776
142,0,1747024
119,0,1744936
139,0,1750592
155,0,1743288
158,0,1742112
172,0,1751024
172,0,1767048
172,0,1737480
172,0,1771248
172,0,1712408
172,0,1735728
172,0,1759144
156,0,1741288
156,0,1735696
156,0,1742656
156,0,1737616
156,0,1755304
156,0,1742760
156,0,1754040
156,0,1736456
156,0,1773464
156,0,1751528
140,0,1751816
140,0,1725776
140,0,1778096
140,0,1756976
140,0,1751704
140,0,1756376
140,0,1740360
140,0,1751632
140,0,1753216
140,0,1718352
140,0,1764168
140,0,1752856
140,0,1770128
140,0,1731392
140,0,1732400
140,0,1717168
140,0,1766248
140,0,1722768
140,0,1789456
140,0,1744512
140,0,1740224
140,0,1758920
140,0,1753680
140,0,1636776
151,0,229528
213,0,2217928
236,0,1660640
262,0,1611352
280,0,1706872
280,0,1762768
280,0,1739728
280,0,1737888
280,0,1729488
262,0,1740368
243,0,1708392
223,0,1764912
207,0,1741416
207,0,1746192
188,0,1772408
172,0,1761728
172,0,1748296
172,0,1747024
172,0,1735528
144,0,1753456
144,0,1774336
144,0,1740808
144,0,1758760
144,0,1708552
144,0,1775656
144,0,1744592
144,0,1750096
144,0,1756168
144,0,1764416
144,0,1733360
144,0,1744288
144,0,1762224
144,0,1816160
144,0,1750072
144,0,1760760
144,0,1750096
144,0,1717176
144,0,1748424
144,0,1765192
144,0,1755512
144,0,1711152
144,0,1776816
144,0,1741320
144,0,1736576
144,0,1752544
144,0,1774624
144,0,1719464
144,0,1735840
144,0,1745784
144,0,1752592
144,0,1763712
144,0,1685984
144,0,1777608
144,0,1761832
144,0,1725752
144,0,1749896
144,0,1760160
144,0,1759792
144,0,1746352
144,0,1728472
144,0,1733448
144,0,1731640
144,0,1755648
144,0,1756960
144,0,1743936
144,0,1744752
144,0,1757952
144,0,1741896
144,0,1755376
144,0,1736640
144,0,1739216
144,0,1730008
144,0,1743384
144,0,1736792
144,0,1756040
144,0,1732512
144,0,1731496
144,0,1745472
144,0,1758336
126,0,1651184
126,0,1751880
126,0,1806912
126,0,1774472
126,0,1774056
126,0,1745336
126,0,1731528
126,0,1725248
126,0,1707968
126,0,1719104
126,0,1738688
126,0,1741320
126,0,1767832
126,0,1707384
126,0,1799480
126,0,1761672
141,0,1729464
141,0,1746056
141,0,1731552
141,0,1767240
141,0,1742528
141,0,1685352
141,0,1782456
141,0,1758744
115,0,1723456
115,0,1749976
115,0,1772496
115,0,1746544
115,0,1765232
115,0,1753056
115,0,1774704
115,0,1714720
115,0,1755040
115,0,1734496
115,0,1728664
115,0,1688776
115,0,1736472
115,0,1732688
115,0,1748256
115,0,1746320
115,0,1698528
115,0,1725232
115,0,1604808
115,0,1903448
115,0,1926384
115,0,1728448
115,0,1617032
123,0,1781768
162,0,1780888
181,0,1757056
178,0,1792864
157,0,1766200
98,0,1793176
114,0,1740512
114,0,1747928
114,0,1749872
114,0,1778760
114,0,1800896
114,0,1749912
116,0,1782968
129,0,1014640
129,0,1421304
135,0,1334392
144,0,1361808
144,0,1373928
144,0,1364304
144,0,479792
159,0,1393648
225,0,1369640
260,0,1393936
276,0,1392096
296,0,1381520
311,0,1383232
328,0,1346656
328,0,1388408
328,0,1343160
308,0,1304560
283,0,1363760
259,0,1395144
239,0,1360312
239,0,1368440
239,0,1450936
239,0,1369152
221,0,1338912
221,0,1416568
206,0,1369128
206,0,1404592
187,0,1399744
187,0,1359832
172,0,1379112
172,0,1443256
172,0,1379592
172,0,1367192
172,0,1368208
155,0,1397536
155,0,1404544
155,0,1355640
155,0,1396584
155,0,1406408
155,0,1415184
155,0,1375568
155,0,1382848
155,0,1346712
155,0,1374664
155,0,1357368
155,0,1361968
155,0,1335600
155,0,1352064
155,0,1383688
155,0,1340888
155,0,1361920
155,0,1402224
155,0,1375176
155,0,1396616
155,0,1374960
155,0,1399464
155,0,1380576
155,0,1359040
155,0,1375240
155,0,1413096
155,0,1394464
155,0,1384056
155,0,1377696
155,0,1389816
155,0,1375616
134,0,1360472
134,0,1372000
134,0,1405000
134,0,1391864
134,0,1404272
134,0,1364992
134,0,1343696
134,0,1383248
134,0,1424568
134,0,1346144
134,0,1360736
134,0,1374600
134,0,1346904
134,0,1388120
134,0,1338856
134,0,1357224
134,0,1364400
134,0,1359480
134,0,1377528
134,0,1364152
134,0,1380400
134,0,1345344
134,0,1389544
134,0,1312656
134,0,1334896
134,0,1357128
134,0,1363896
134,0,1416424
134,0,1369272
134,0,1340144
134,0,1398384
134,0,1382776
134,0,1120936
134,0,1380952
134,0,1381904
134,1,1389952
134,0,1398528
134,0,1319016
134,0,1317712
134,0,1361920
134,0,1346056
134,0,1310640
134,0,1388512
134,0,1805776
139,0,1856672
149,4,1766000
167,2,1755688
178,0,1703648
184,0,1693792
200,5,1413432
200,3,1371264
200,0,1347280
200,1,1350216
200,1,1379520
200,5,1333336
200,0,1374784
200,2,1389040
200,1,1340800
200,0,1358192
200,4,1372568
200,0,1330640
200,5,1351800
200,2,1367752
185,2,1389240
185,2,1422600
185,0,1394432
185,1,1361760
185,8,1363056
185,2,1663624
185,2,1894480
185,4,1663040
170,2,1778888
170,0,1795368
170,0,1761920
170,0,1381680
170,0,1388120
170,0,1406712
170,2,1342048
170,0,1361368
152,1,1341992
134,0,1323312
134,0,1360696
134,3,1414616
134,1,1335680
134,0,1434184
134,0,1501816
134,0,1428384
134,0,1347728
134,3,1395568
134,0,1443304
134,0,1743144
134,0,1900968
134,0,1908544
134,0,1952616
134,4,1339736
134,1,2022032
134,0,1795280
134,0,1825680
134,0,1770536
134,0,1741608
134,0,1740168
151,1,543216
169,0,1976208
226,0,1773608
242,0,1695112
265,0,1750008
284,3,1752272
303,0,1743824
261,0,1759112
269,0,1759208
277,4,1760360
277,0,1831408
277,1,1759824
277,0,1740896
277,0,1780632
260,0,1795760
260,0,1707960
239,0,1743360
200,0,1760184
185,0,1745360
185,0,1751960
185,0,1745840
185,0,1734368
185,0,1711704
185,0,1756688
185,0,1741856
168,0,1765600
168,0,1736784
140,0,1745984
140,0,1744424
140,0,1740024
140,0,1761048
140,0,1750968
140,0,1593544
165,0,315400
225,0,2271344
264,0,1615424
282,0,1527224
311,0,1689944
319,0,1743992
337,0,1754032
337,0,1772192
337,0,1776792
337,0,1739136
337,0,1816080
292,0,1669504
268,0,1806688
245,0,1752352
223,0,1750768
207,0,1764744
207,0,1740248
207,0,1751864
192,0,1728192
192,0,1762320
192,0,1727456
192,0,1793360
177,0,1793448
177,0,1769896
177,0,1771832
177,0,1780968
177,0,1748688
177,0,1764128
177,0,1760936
177,0,1759312
177,0,1777160
177,0,1788984
177,0,1754872
177,0,2030504
140,0,2163608
140,0,2267640
140,0,2207088
140,0,2201936
140,0,2234312
140,0,1941320
140,0,1780584
140,0,1756232
140,0,1773424
140,0,1734600
140,0,1777368
140,0,1765616
140,0,1702064
140,0,1731688
140,0,1726368
140,0,1763144
140,0,1762312
125,0,1793856
127,0,1763936
140,0,1741864
140,0,1755568
140,0,1793272
140,0,1766560
125,0,1755928
125,0,1685968
125,0,1776296
125,0,1769704
141,0,1750696
141,0,1757064
141,0,1721320
141,0,1770488
141,0,1762216
141,0,1736576
141,0,1698688
141,0,1734264
141,0,1754536
141,0,1754184
141,0,1758328
141,0,1731944
141,0,1836256
141,0,1864568
141,0,1790568
141,0,1741488
141,0,1718824
141,0,1725360
141,0,1767832
141,0,1753896
141,0,1746888
141,0,1745768
141,0,1747072
141,0,1765008
141,0,1743904
141,0,1746768
141,0,1743568
143,0,1751672
158,0,1704072
158,0,1743160
158,0,1704280
158,0,1743424
158,0,1757920
158,0,1769912
158,0,1759392
158,0,2282968
158,0,2206960
158,0,2244400
158,0,2198272
158,0,2213928
158,0,2214560
158,1,2160096
158,0,2176728
158,0,2184528
158,1,2159192
121,1,2110784
121,0,2038448
121,0,2170384
121,0,2182112
